id,title,artist,duration (seconds)
1,"Sick and Tired","iann dior, mgk, Travis Barker",144
2,"We Don't Need 'Em","Ryan Caraveo",226
3,"Hooligan","Upchurch, Adam Calhoun",149
4,"Back N Forth","Upchurch, Adam Calhoun",179
5,"Ocean Eyes","American Avenue",240
6,"Devil Eyes","Hippie Sabotage",131
7,"blood valentine","mgk",205
8,"Ones Like Me","Upchurch, Adam Calhoun",156
9,"Bars No Jutsu","Louis Capone",148
10,"Everyday","Logic, Marshmello",204
11,"Remember When (Acoustic)","Bad Wolves",209
12,"Take What You Want","Post Malone, Ozzy Osbourne, Travis Scott",229
13,"Huck Fosier","Adam Calhoun",161
14,"The Hunt","FRP OG",299
15,"Isis","Joyner Lucas, Logic",236
16,"Seven Enemies","Hatebreed",125
17,"Round Here","Adam Calhoun",195
18,"why are you here","mgk",175
19,"What's My Age Again?","Blink-182",148
20,"Homicide","Logic, Eminem",245
21,"Sow'n","Upchurch, Adam Calhoun",
22,"Jungle","X Ambassadors, Jamie N Commons",189
23,"All Might (From 'My Hero Academia')","None Like Joshua",183
24,"Venom - Music From The Motion Picture","Eminem",269
25,"Tombstone","Adam Calhoun",189
26,"Sugar, We're Goin Down","Fall Out Boy",229
27,"Between the Lines","Kai Wachi, Sullivan King",203
28,"Lucky You","Eminem, Joyner Lucas",244
29,"Us","Upchurch, Adam Calhoun",170
30,"Sunrise Trailer Park","Papa Roach, mgk",227
31,"Teir Abhaile Riu","Celtic Woman",246
32,"Godzilla","Eminem, Juice WRLD",210
33,"Holy Ghost","Upchurch, Adam Calhoun",141
34,"A Little Bit Off","Five Finger Death Punch",190
35,"Misty Mountains","Richard Armitage, The Dwarf Cast",103
36,"Echoes","Jelly Roll, Cub da CookUpBoss",237
37,"bloody valentine - Acoustic","mgk",195
38,"Where Roads End","Ramirez",133
39,"Hurricane","I Prevail",223
40,"HUMBLE.","Kendrick Lamar",177
41,"Cadaverous - Original Mix","Kai Wachi",243
42,"Legends","Upchurch, Adam Calhoun",150
43,"Go Fuck Yourself","Two Feet",129
44,"hot girl bummer","blackbear",185
45,"ASMODEUS","Kai Wachi",153
46,"Dying","Adam Calhoun",169
47,"Yggdrasil","Brothers of Metal",272
48,"Toss A Coin To Your Witcher","Sonya Belousova, Giona Ostinelli, Joey Batey",190
49,"Hollow","Kai Wachi",214
50,"No Role Modelz","J. Cole",292
51,"Tongue Tied","Marshmello, YUNGBLUD, blackbear",186
52,"Hey Neighbor","Rockit Music, Rockit",193
53,"MUD","Kai Wachi, Macntaj",272
54,"Savage Daughter","Sarah Hester Ross",178
55,"Self Care","Mac Miller",345
56,"Escape the Feeling","A War Within",220
57,"When I Grow Up","NF",196
58,"7 Years","Sik World",134
59,"Miss YOU!","CORPSE",92
60,"Misery Business","mgk, Travis Barker",201
61,"LUVSICK","Kai Wachi, Ylti",234
62,"Mindreader","A Day To Remember",173
63,"E-GIRLS ARE RUINING MY LIFE!","CORPSE, Savage Ga$p",105
64,"Stand Tall","Adam Calhoun",182
65,"3 Foot Tall","Classified",220
66,"DOA","I Prevail, Joyner Lucas",218
67,"Cat Girls Are Ruining My Life!","CORPSE",97
68,"Dial Tones","AS IT IS",199
69,"7 Years","Cryptic Wisdom",177
70,"Seraphim","Upchurch, Adam Calhoun",188
71,"100 Words and Running","mgk",177
72,"Still Remembering","AS IT IS",196
73,"FAIRY TAIL Main Theme","Yasuharu Takanashi",152
74,"White Tee","CORPSE",121
75,"Rascism","Adam Calhoun",152
76,"lonely","mgk",190
77,"Fire Blood and Steel","Brothers of Metal",192
78,"Never Satisfied","CORPSE",119
79,"Clean Money","Adam Calhoun",169
80,"Wolf Totem","The HU, Jacoby Shaddix, Papa Roach",317
81,"The Stickup","Chris Webby, Skrizzly Adams",203
82,"Hey Brother","Avicii",255
83,"BOP","DaBaby",159
84,"White Tee - Alternate Bass Boosted Version","CORPSE",121
85,"Home of the Brave","Adam Calhoun",153
86,"The Stigma (Boys Don’t Cry)","AS IT IS",182
87,"Darkside","iann dior, Travis Barker",154
88,"Cabin Fever","CORPSE",86
89,"Rookie Of The Year","Chris Webby",221
90,"Paimon","Kai Wachi, Code: Pandorum",156
91,"Hey Rachel","AS IT IS",180
92,"Lights Go Down","Bazanji",185
93,"forget me too","mgk, Halsey",171
94,"BREAK","Kai Wachi",160
95,"Silence","Marshmello, Khalid",180
96,"War","Adam Calhoun",163
97,"Back Foot","Dinosaur Pile-Up",188
98,"You Can't Stop Me","Andy Mineo",239
99,"PAID MY DUES","NF",211
100,"DEMONS","Kai Wachi",251
