trackId,artistId
1,1
1,2
1,3
2,4
3,5
3,6
4,5
4,6
5,7
6,8
7,2
8,5
8,6
9,9
10,10
10,11
11,12
12,13
12,14
12,15
13,6
14,16
15,17
15,10
16,18
17,6
18,2
19,19
20,10
20,20
21,5
21,6
22,21
22,22
23,23
24,20
25,6
26,24
27,25
27,26
28,20
28,17
29,5
29,6
30,27
30,2
31,28
32,20
32,29
33,5
33,6
34,30
35,31
35,32
36,33
36,34
37,2
38,35
39,36
40,37
41,25
42,5
42,6
43,38
44,39
45,25
46,6
47,40
48,41
48,42
48,43
49,25
50,44
51,11
51,45
51,39
52,46
52,47
53,25
53,48
54,49
55,50
56,51
57,52
58,53
59,54
60,2
60,3
61,25
61,55
62,56
63,54
63,57
64,6
65,58
66,36
66,17
67,54
68,59
69,60
70,5
70,6
71,2
72,59
73,61
74,54
75,6
76,2
77,40
78,54
79,6
80,62
80,63
80,27
81,64
81,65
82,66
83,67
84,54
85,6
86,59
87,1
87,3
88,54
89,64
90,25
90,68
91,59
92,69
93,2
93,70
94,25
95,11
95,71
96,6
97,72
98,73
99,52
100,25
101,74
102,74
102,75
103,74
104,74
105,74
106,76
106,74
107,77
108,78
108,75
109,74
110,79
111,35
111,74
112,80
112,81
113,74
113,82
114,83
114,84
115,85
115,86
116,17
116,87
117,74
118,10
119,88
120,17
121,74
122,10
122,20
123,89
124,90
124,91
124,67
124,92
125,74
126,13
126,14
126,15
127,10
127,11
128,93
128,39
129,74
130,86
131,9
132,17
132,10
133,94
133,74
134,95
134,96
135,10
136,2
137,74
138,19
139,54
139,57
140,97
141,74
142,98
143,99
144,24
145,74
146,2
147,100
148,78
148,101
149,74
150,102
150,103
151,20
152,7
153,74
153,75
154,37
155,20
155,29
156,104
156,105
157,74
158,106
158,107
158,108
158,109
159,27
159,2
160,110
161,74
161,111
162,112
163,36
164,39
165,74
166,78
166,82
166,75
166,113
167,2
167,70
168,44
169,74
170,20
170,17
171,114
171,115
172,2
172,3
173,74
174,69
175,1
175,2
175,3
176,78
177,74
178,54
178,94
179,50
180,4
181,74
182,54
183,67
183,116
184,11
184,45
184,39
185,74
186,56
187,2
188,78
189,74
190,54
191,94
192,117
192,118
192,119
193,74
194,54
195,94
195,120
195,121
196,122
197,74
198,2
198,3
199,56
200,1
200,3
201,123
202,74
203,123
204,74
205,123
206,104
206,105
207,124
208,74
209,123
210,125
211,106
211,107
211,108
211,109
212,74
213,123
214,79
215,126
216,74
217,123
218,86
218,80
218,127
218,128
219,129
219,130
220,74
221,123
222,33
223,129
223,118
224,94
224,74
225,123
226,131
227,132
227,133
227,134
227,135
228,74
228,82
229,77
230,131
231,54
231,57
232,76
232,74
233,136
234,131
235,83
235,84
236,74
236,111
237,136
237,123
238,38
239,137
239,138
240,74
241,123
242,89
243,9
244,74
245,123
246,41
246,42
246,43
247,139
248,74
249,2
249,70
250,140
251,74
252,16
253,141
254,72
255,74
255,75
256,2
257,139
258,136
258,123
259,74
260,115
261,142
261,143
262,123
263,74
264,54
265,144
266,78
267,74
268,145
269,36
269,17
270,8
271,74
272,142
272,143
273,146
274,147
274,148
275,74
276,142
277,123
278,149
278,150
278,151
278,152
278,153
278,154
279,74
280,2
280,3
281,136
281,123
281,155
282,142
282,143
283,74
284,115
285,31
285,32
286,156
287,74
288,100
289,23
290,157
291,74
292,158
293,123
294,139
295,74
296,54
296,94
297,4
298,11
298,71
299,5
299,6
300,159
300,160
301,161
302,162
302,163
303,13
304,164
304,165
304,166
305,167
306,168
307,13
308,169
308,170
309,74
309,167
310,123
311,171
312,172
312,173
312,174
313,162
314,175
315,176
315,177
316,13
316,14
316,15
317,74
318,178
319,54
320,13
321,74
322,179
323,136
324,13
325,74
326,180
327,171
328,78
329,181
330,167
331,182
332,54
332,183
333,74
334,167
335,78
336,129
336,118
337,184
338,185
339,131
340,94
340,74
341,31
341,32
342,61
343,78
344,74
345,147
346,49
347,78
347,75
348,74
349,123
350,146
351,147
351,148
352,74
353,186
353,187
353,188
354,167
355,123
356,189
356,190
357,78
358,167
359,131
360,106
360,107
360,108
360,109
361,123
362,74
363,129
363,130
364,104
364,105
365,167
366,78
367,74
368,123
369,77
370,78
371,74
372,131
373,33
374,78
375,74
376,124
377,125
378,78
379,123
380,167
381,74
382,78
382,75
383,123
384,167
385,74
386,78
387,126
388,123
389,74
389,82
390,78
390,101
391,191
392,123
393,74
394,78
394,192
395,193
395,167
396,2
396,21
396,194
397,74
398,78
399,167
400,79
401,13
402,195
402,196
403,195
404,195
405,197
406,198
407,180
408,195
409,161
410,171
411,199
411,200
412,13
413,201
413,202
413,203
414,204
415,195
416,179
417,167
418,180
419,195
419,205
420,171
421,206
422,54
422,207
423,208
424,209
425,210
426,162
426,163
427,211
428,13
428,14
428,15
429,195
430,178
431,74
432,75
432,78
433,212
433,213
433,214
434,215
435,181
436,211
437,171
438,216
439,217
440,164
440,165
440,166
441,172
441,173
441,174
442,13
443,74
444,218
444,219
445,220
446,169
446,170
447,78
448,221
448,222
449,223
450,104
450,105
